"","Country","Date","Recovered"
"490","Angola",2020-04-21,0
"491","Angola",2020-04-22,0
"492","Angola",2020-04-23,0
"493","Angola",2020-04-24,0
"494","Angola",2020-04-25,0
"495","Angola",2020-04-26,0
"496","Angola",2020-04-27,0
"497","Angola",2020-04-28,0
"498","Angola",2020-04-29,0
"499","Angola",2020-04-30,0
"500","Angola",2020-05-01,0
"501","Angola",2020-05-02,0
"502","Angola",2020-05-03,0
"503","Angola",2020-05-04,0
"504","Angola",2020-05-05,0
"505","Antigua and Barbuda",2020-01-01,0
"506","Antigua and Barbuda",2020-01-02,0
"507","Antigua and Barbuda",2020-01-03,0
"508","Antigua and Barbuda",2020-01-04,0
"509","Antigua and Barbuda",2020-01-05,0
"510","Antigua and Barbuda",2020-01-06,0
"511","Antigua and Barbuda",2020-01-07,0
"512","Antigua and Barbuda",2020-01-08,0
"513","Antigua and Barbuda",2020-01-09,0
"514","Antigua and Barbuda",2020-01-10,0
"515","Antigua and Barbuda",2020-01-11,0
"516","Antigua and Barbuda",2020-01-12,0
"517","Antigua and Barbuda",2020-01-13,0
"518","Antigua and Barbuda",2020-01-14,0
"519","Antigua and Barbuda",2020-01-15,0
"520","Antigua and Barbuda",2020-01-16,0
"521","Antigua and Barbuda",2020-01-17,0
"522","Antigua and Barbuda",2020-01-18,0
"523","Antigua and Barbuda",2020-01-19,0
"524","Antigua and Barbuda",2020-01-20,0
"525","Antigua and Barbuda",2020-01-21,0
"526","Antigua and Barbuda",2020-01-22,0
"527","Antigua and Barbuda",2020-01-23,0
"528","Antigua and Barbuda",2020-01-24,0
"529","Antigua and Barbuda",2020-01-25,0
"530","Antigua and Barbuda",2020-01-26,0
"531","Antigua and Barbuda",2020-01-27,0
"532","Antigua and Barbuda",2020-01-28,0
"533","Antigua and Barbuda",2020-01-29,0
"534","Antigua and Barbuda",2020-01-30,0
"535","Antigua and Barbuda",2020-01-31,0
"536","Antigua and Barbuda",2020-02-01,0
"537","Antigua and Barbuda",2020-02-02,0
"538","Antigua and Barbuda",2020-02-03,0
"539","Antigua and Barbuda",2020-02-04,0
"540","Antigua and Barbuda",2020-02-05,0
"541","Antigua and Barbuda",2020-02-06,0
"542","Antigua and Barbuda",2020-02-07,0
"543","Antigua and Barbuda",2020-02-08,0
"544","Antigua and Barbuda",2020-02-09,0
"545","Antigua and Barbuda",2020-02-10,0
"546","Antigua and Barbuda",2020-02-11,0
"547","Antigua and Barbuda",2020-02-12,0
"548","Antigua and Barbuda",2020-02-13,0
"549","Antigua and Barbuda",2020-02-14,0
"550","Antigua and Barbuda",2020-02-15,0
"551","Antigua and Barbuda",2020-02-16,0
"552","Antigua and Barbuda",2020-02-17,0
"553","Antigua and Barbuda",2020-02-18,0
"554","Antigua and Barbuda",2020-02-19,0
"555","Antigua and Barbuda",2020-02-20,0
"556","Antigua and Barbuda",2020-02-21,0
"557","Antigua and Barbuda",2020-02-22,0
"558","Antigua and Barbuda",2020-02-23,0
"559","Antigua and Barbuda",2020-02-24,0
"560","Antigua and Barbuda",2020-02-25,0
"561","Antigua and Barbuda",2020-02-26,0
"562","Antigua and Barbuda",2020-02-27,0
"563","Antigua and Barbuda",2020-02-28,0
"564","Antigua and Barbuda",2020-02-29,0
"565","Antigua and Barbuda",2020-03-01,0
"566","Antigua and Barbuda",2020-03-02,0
"567","Antigua and Barbuda",2020-03-03,0
"568","Antigua and Barbuda",2020-03-04,0
"569","Antigua and Barbuda",2020-03-05,0
"570","Antigua and Barbuda",2020-03-06,0
"571","Antigua and Barbuda",2020-03-07,0
"572","Antigua and Barbuda",2020-03-08,0
"573","Antigua and Barbuda",2020-03-09,0
"574","Antigua and Barbuda",2020-03-10,0
"575","Antigua and Barbuda",2020-03-11,0
"576","Antigua and Barbuda",2020-03-12,0
"577","Antigua and Barbuda",2020-03-13,0
"578","Antigua and Barbuda",2020-03-14,0
"579","Antigua and Barbuda",2020-03-15,0
"580","Antigua and Barbuda",2020-03-16,0
"581","Antigua and Barbuda",2020-03-17,0
"582","Antigua and Barbuda",2020-03-18,0
"583","Antigua and Barbuda",2020-03-19,0
"584","Antigua and Barbuda",2020-03-20,0
"585","Antigua and Barbuda",2020-03-21,0
"586","Antigua and Barbuda",2020-03-22,0
"587","Antigua and Barbuda",2020-03-23,0
"588","Antigua and Barbuda",2020-03-24,0
"589","Antigua and Barbuda",2020-03-25,0
"590","Antigua and Barbuda",2020-03-26,0
"591","Antigua and Barbuda",2020-03-27,0
"592","Antigua and Barbuda",2020-03-28,0
"593","Antigua and Barbuda",2020-03-29,0
"594","Antigua and Barbuda",2020-03-30,0
"595","Antigua and Barbuda",2020-03-31,0
"596","Antigua and Barbuda",2020-04-01,0
"597","Antigua and Barbuda",2020-04-02,0
"598","Antigua and Barbuda",2020-04-03,0
"599","Antigua and Barbuda",2020-04-04,0
"600","Antigua and Barbuda",2020-04-05,0
"601","Antigua and Barbuda",2020-04-06,0
"602","Antigua and Barbuda",2020-04-07,0
"603","Antigua and Barbuda",2020-04-08,0
"604","Antigua and Barbuda",2020-04-09,0
"605","Antigua and Barbuda",2020-04-10,0
"606","Antigua and Barbuda",2020-04-11,0
"607","Antigua and Barbuda",2020-04-12,0
"608","Antigua and Barbuda",2020-04-13,0
"609","Antigua and Barbuda",2020-04-14,0
"610","Antigua and Barbuda",2020-04-15,0
"611","Antigua and Barbuda",2020-04-16,0
"612","Antigua and Barbuda",2020-04-17,0
"613","Antigua and Barbuda",2020-04-18,0
"614","Antigua and Barbuda",2020-04-19,0
"615","Antigua and Barbuda",2020-04-20,0
"616","Antigua and Barbuda",2020-04-21,0
"617","Antigua and Barbuda",2020-04-22,0
"618","Antigua and Barbuda",2020-04-23,0
"619","Antigua and Barbuda",2020-04-24,0
"620","Antigua and Barbuda",2020-04-25,0
"621","Antigua and Barbuda",2020-04-26,0
"622","Antigua and Barbuda",2020-04-27,0
"623","Antigua and Barbuda",2020-04-28,0
"624","Antigua and Barbuda",2020-04-29,0
"625","Antigua and Barbuda",2020-04-30,0
"626","Antigua and Barbuda",2020-05-01,0
"627","Antigua and Barbuda",2020-05-02,0
"628","Antigua and Barbuda",2020-05-03,0
"629","Antigua and Barbuda",2020-05-04,0
"630","Antigua and Barbuda",2020-05-05,0
"631","Argentina",2020-01-01,0
"632","Argentina",2020-01-02,0
"633","Argentina",2020-01-03,0
"634","Argentina",2020-01-04,0
"635","Argentina",2020-01-05,0
"636","Argentina",2020-01-06,0
"637","Argentina",2020-01-07,0
"638","Argentina",2020-01-08,0
"639","Argentina",2020-01-09,0
"640","Argentina",2020-01-10,0
"641","Argentina",2020-01-11,0
"642","Argentina",2020-01-12,0
"643","Argentina",2020-01-13,0
"644","Argentina",2020-01-14,0
"645","Argentina",2020-01-15,0
"646","Argentina",2020-01-16,0
"647","Argentina",2020-01-17,0
"648","Argentina",2020-01-18,0
"649","Argentina",2020-01-19,0
"650","Argentina",2020-01-20,0
"651","Argentina",2020-01-21,0
"652","Argentina",2020-01-22,0
"653","Argentina",2020-01-23,0
"654","Argentina",2020-01-24,0
"655","Argentina",2020-01-25,0
"656","Argentina",2020-01-26,0
"657","Argentina",2020-01-27,0
"658","Argentina",2020-01-28,0
"659","Argentina",2020-01-29,0
"660","Argentina",2020-01-30,0
"661","Argentina",2020-01-31,0
"662","Argentina",2020-02-01,0
"663","Argentina",2020-02-02,0
"664","Argentina",2020-02-03,0
"665","Argentina",2020-02-04,0
"666","Argentina",2020-02-05,0
"667","Argentina",2020-02-06,0
"668","Argentina",2020-02-07,0
"669","Argentina",2020-02-08,0
"670","Argentina",2020-02-09,0
"671","Argentina",2020-02-10,0
"672","Argentina",2020-02-11,0
"673","Argentina",2020-02-12,0
"674","Argentina",2020-02-13,0
"675","Argentina",2020-02-14,0
"676","Argentina",2020-02-15,0
"677","Argentina",2020-02-16,0
"678","Argentina",2020-02-17,0
"679","Argentina",2020-02-18,0
"680","Argentina",2020-02-19,0
"681","Argentina",2020-02-20,0
"682","Argentina",2020-02-21,0
"683","Argentina",2020-02-22,0
"684","Argentina",2020-02-23,0
"685","Argentina",2020-02-24,0
"686","Argentina",2020-02-25,0
"687","Argentina",2020-02-26,0
"688","Argentina",2020-02-27,0
"689","Argentina",2020-02-28,0
"690","Argentina",2020-02-29,0
"691","Argentina",2020-03-01,0
"692","Argentina",2020-03-02,0
"693","Argentina",2020-03-03,0
"694","Argentina",2020-03-04,0
"695","Argentina",2020-03-05,0
"696","Argentina",2020-03-06,0
"697","Argentina",2020-03-07,0
"698","Argentina",2020-03-08,0
"699","Argentina",2020-03-09,0
"700","Argentina",2020-03-10,0
"701","Argentina",2020-03-11,0
"702","Argentina",2020-03-12,0
"703","Argentina",2020-03-13,0
"704","Argentina",2020-03-14,0
"705","Argentina",2020-03-15,0
"706","Argentina",2020-03-16,0
"707","Argentina",2020-03-17,0
"708","Argentina",2020-03-18,0
"709","Argentina",2020-03-19,0
"710","Argentina",2020-03-20,0
"711","Argentina",2020-03-21,0
"712","Argentina",2020-03-22,0
"713","Argentina",2020-03-23,0
"714","Argentina",2020-03-24,0
"715","Argentina",2020-03-25,0
"716","Argentina",2020-03-26,0
"717","Argentina",2020-03-27,0
"718","Argentina",2020-03-28,0
"719","Argentina",2020-03-29,0
"720","Argentina",2020-03-30,0
"721","Argentina",2020-03-31,0
"722","Argentina",2020-04-01,0
"723","Argentina",2020-04-02,0
"724","Argentina",2020-04-03,0
"725","Argentina",2020-04-04,0
"726","Argentina",2020-04-05,0
"727","Argentina",2020-04-06,0
"728","Argentina",2020-04-07,0
"729","Argentina",2020-04-08,0
"730","Argentina",2020-04-09,0
"731","Argentina",2020-04-10,0
"732","Argentina",2020-04-11,0
"733","Argentina",2020-04-12,0
"734","Argentina",2020-04-13,0
"735","Argentina",2020-04-14,0
"736","Argentina",2020-04-15,0
"737","Argentina",2020-04-16,0
"738","Argentina",2020-04-17,0
"739","Argentina",2020-04-18,0
"740","Argentina",2020-04-19,0
"741","Argentina",2020-04-20,0
"742","Argentina",2020-04-21,0
"743","Argentina",2020-04-22,0
"744","Argentina",2020-04-23,0
"745","Argentina",2020-04-24,0
"746","Argentina",2020-04-25,0
"747","Argentina",2020-04-26,0
"748","Argentina",2020-04-27,0
"749","Argentina",2020-04-28,0
"750","Argentina",2020-04-29,0
"751","Argentina",2020-04-30,0
"752","Argentina",2020-05-01,0
"753","Argentina",2020-05-02,0
"754","Argentina",2020-05-03,0
"755","Argentina",2020-05-04,0
"756","Argentina",2020-05-05,0
"757","Armenia",2020-01-01,0
"758","Armenia",2020-01-02,0
"759","Armenia",2020-01-03,0
"760","Armenia",2020-01-04,0
"761","Armenia",2020-01-05,0
"762","Armenia",2020-01-06,0
"763","Armenia",2020-01-07,0
"764","Armenia",2020-01-08,0
"765","Armenia",2020-01-09,0
"766","Armenia",2020-01-10,0
"767","Armenia",2020-01-11,0
"768","Armenia",2020-01-12,0
